Nodes,StorageTypes,Period,EnergyMaxBuiltCapacity
Austria,HydroPumpStorage,1,0
BosniaH,HydroPumpStorage,1,0
Belgium,HydroPumpStorage,1,0
Bulgaria,HydroPumpStorage,1,0
Switzerland,HydroPumpStorage,1,0
CzechR,HydroPumpStorage,1,0
Germany,HydroPumpStorage,1,0
Spain,HydroPumpStorage,1,0
Finland,HydroPumpStorage,1,0
France,HydroPumpStorage,1,0
GreatBrit.,HydroPumpStorage,1,0
Greece,HydroPumpStorage,1,0
Croatia,HydroPumpStorage,1,0
Hungary,HydroPumpStorage,1,0
Ireland,HydroPumpStorage,1,0
Italy,HydroPumpStorage,1,0
Lithuania,HydroPumpStorage,1,0
Luxemb.,HydroPumpStorage,1,0
Macedonia,HydroPumpStorage,1,0
NO1,HydroPumpStorage,1,0
NO2,HydroPumpStorage,1,0
NO3,HydroPumpStorage,1,0
NO4,HydroPumpStorage,1,0
NO5,HydroPumpStorage,1,0
Poland,HydroPumpStorage,1,0
Portugal,HydroPumpStorage,1,0
Romania,HydroPumpStorage,1,0
Serbia,HydroPumpStorage,1,0
Sweden,HydroPumpStorage,1,0
Slovakia,HydroPumpStorage,1,0
Austria,Li-Ion_BESS,1,0
BosniaH,Li-Ion_BESS,1,0
Belgium,Li-Ion_BESS,1,0
Bulgaria,Li-Ion_BESS,1,0
Switzerland,Li-Ion_BESS,1,0
CzechR,Li-Ion_BESS,1,0
Germany,Li-Ion_BESS,1,0
Denmark,Li-Ion_BESS,1,0
Estonia,Li-Ion_BESS,1,0
Spain,Li-Ion_BESS,1,0
Finland,Li-Ion_BESS,1,0
France,Li-Ion_BESS,1,0
GreatBrit.,Li-Ion_BESS,1,0
Greece,Li-Ion_BESS,1,0
Croatia,Li-Ion_BESS,1,0
Hungary,Li-Ion_BESS,1,0
Ireland,Li-Ion_BESS,1,0
Italy,Li-Ion_BESS,1,0
Lithuania,Li-Ion_BESS,1,0
Luxemb.,Li-Ion_BESS,1,0
Latvia,Li-Ion_BESS,1,0
Macedonia,Li-Ion_BESS,1,0
Netherlands,Li-Ion_BESS,1,0
NO1,Li-Ion_BESS,1,0
NO2,Li-Ion_BESS,1,0
NO3,Li-Ion_BESS,1,0
NO4,Li-Ion_BESS,1,0
NO5,Li-Ion_BESS,1,0
Poland,Li-Ion_BESS,1,0
Portugal,Li-Ion_BESS,1,0
Romania,Li-Ion_BESS,1,0
Serbia,Li-Ion_BESS,1,0
Sweden,Li-Ion_BESS,1,0
Slovenia,Li-Ion_BESS,1,0
Slovakia,Li-Ion_BESS,1,0
