Node,Period,Natural_gas_demand_[MWh/yr]
Austria,1,51912591.661214694
BosniaH,1,12290512.966295771
Belgium,1,79334995.89472944
Bulgaria,1,15346195.201688517
Switzerland,1,50071092.34507297
CzechR,1,53279302.46892821
Germany,1,506030485.88991034
Denmark,1,22134692.39158972
Estonia,1,3832679.2384501724
Spain,1,132575839.03119436
Finland,1,12553967.405074079
France,1,268552347.41514665
GreatBrit.,1,327427944.349229
Greece,1,8336557.700291494
Croatia,1,13968159.338533435
Hungary,1,44124505.5185036
Ireland,1,16691304.283021647
Italy,1,320494401.9850782
Lithuania,1,6116553.895919863
Luxemb.,1,4344906.382075005
Latvia,1,6734419.335352512
Macedonia,1,1614618.0168714814
Netherlands,1,131829351.25646114
NO1,1,750196.3104996652
NO2,1,776037.010444605
NO3,1,555546.6400348664
NO4,1,396430.1997086427
NO5,1,379175.58355301176
Poland,1,92702093.70090526
Portugal,1,20525264.064450264
Romania,1,64839231.03183381
Serbia,1,24509676.564159673
Sweden,1,7417507.743651843
Slovenia,1,6795392.080051093
Slovakia,1,24712538.09140311
Austria,2,43613746.834568225
BosniaH,2,9831453.2007735
Belgium,2,62012871.82362807
Bulgaria,2,13369619.340511866
Switzerland,2,42066633.07275924
CzechR,2,43313366.88269152
Germany,2,392156563.42456424
Denmark,2,17597800.70856047
Estonia,2,2886769.3685500417
Spain,2,113214656.4554896
Finland,2,11139423.777873956
France,2,213984840.8981145
GreatBrit.,2,241734267.31105652
Greece,2,6102744.919364085
Croatia,2,11173439.645223182
Hungary,2,31581137.418204084
Ireland,2,13633100.739850692
Italy,2,250132738.56935316
Lithuania,2,4439865.97051865
Luxemb.,2,2725214.897057011
Latvia,2,4779295.534927264
Macedonia,2,1181974.8934061367
Netherlands,2,98918663.02653709
NO1,2,715292.6768333805
NO2,2,713602.9082356902
NO3,2,528035.7856865134
NO4,2,369816.1739167755
NO5,2,334440.33487733005
Poland,2,81193356.67262775
Portugal,2,18730034.894956827
Romania,2,52142402.05139646
Serbia,2,19605832.4634155
Sweden,2,6926113.011202987
Slovenia,2,5816809.772490157
Slovakia,2,18336748.689575706
Austria,3,32073787.287756123
BosniaH,3,7084967.12170016
Belgium,3,41289069.192219526
Bulgaria,3,9980317.532898726
Switzerland,3,30936031.389496736
CzechR,3,30422800.836279348
Germany,3,282469429.33056974
Denmark,3,12769623.02179564
Estonia,3,2307106.9880680647
Spain,3,77384631.03998967
Finland,3,9598725.647280078
France,3,157934393.07763267
GreatBrit.,3,170976950.281847
Greece,3,3446219.2296041334
Croatia,3,8052060.148796629
Hungary,3,21505387.99392326
Ireland,3,9700820.650717393
Italy,3,183649236.21796772
Lithuania,3,2464306.0981266946
Luxemb.,3,1153494.7053608426
Latvia,3,3539104.7478357535
Macedonia,3,667461.0622575345
Netherlands,3,71484043.33399443
NO1,3,536469.5076250354
NO2,3,535202.1811767677
NO3,3,396026.839264885
NO4,3,277361.44591629476
NO5,3,240428.09942003468
Poland,3,57160614.49573293
Portugal,3,13174808.893499436
Romania,3,39173111.105147645
Serbia,3,14128804.314089786
Sweden,3,4784371.000230828
Slovenia,3,3988591.2289502164
Slovakia,3,12576815.392946027
Austria,4,20451186.05440612
BosniaH,4,4282308.014273802
Belgium,4,20372649.308217853
Bulgaria,4,6553639.607278161
Switzerland,4,19725719.57453447
CzechR,4,17564488.975530066
Germany,4,173259291.63721904
Denmark,4,7907584.60908134
Estonia,4,1722632.5996911537
Spain,4,42899036.79508365
Finland,4,8152584.181819657
France,4,101941763.56790775
GreatBrit.,4,100712129.8027402
Greece,4,1867478.0332845808
Croatia,4,4866840.04517047
Hungary,4,11320119.112135857
Ireland,4,5763090.219399259
Italy,4,117336385.35098246
Lithuania,4,1504545.6337223863
Luxemb.,4,573600.1203412374
Latvia,4,2270252.438725368
Macedonia,4,361691.694228611
Netherlands,4,43801594.76308435
NO1,4,357646.33841669024
NO2,4,356801.4541178451
NO3,4,264017.8928432567
NO4,4,184907.63061086318
NO5,4,171484.0905810544
Poland,4,33040914.32803283
Portugal,4,8098627.914369807
Romania,4,26092529.59576476
Serbia,4,8539756.205927745
Sweden,4,2875450.523281544
Slovenia,4,2374545.697205232
Slovakia,4,6700282.81108918
Austria,5,8740874.07611738
BosniaH,5,1417687.382572053
Belgium,5,7993691.300943749
Bulgaria,5,3129544.791933784
Switzerland,5,8430808.384566152
CzechR,5,5746889.842517297
Germany,5,63700230.97096376
Denmark,5,2912072.5876220884
Estonia,5,1125911.700451878
Spain,5,21449518.397541825
Finland,5,6828769.38040829
France,5,46050356.76655951
GreatBrit.,5,30854754.50559234
Greece,5,933739.0166422904
Croatia,5,1611200.7128017454
Hungary,5,1611823.9599666672
Ireland,5,1981559.776083546
Italy,5,51425981.712891474
Lithuania,5,752272.8168611932
Luxemb.,5,286800.0601706187
Latvia,5,962159.4250605786
Macedonia,5,180845.8471143055
Netherlands,5,15946437.492372517
NO1,5,178823.16920834512
NO2,5,178400.72705892255
NO3,5,132008.94642162835
NO4,5,92453.81530543159
NO5,5,93469.47655132771
Poland,5,12716137.61536568
Portugal,5,4049313.9571849033
Romania,5,12969310.738890205
Serbia,5,2827144.750688424
Sweden,5,1437725.261640772
Slovenia,5,1187272.848602616
Slovakia,5,2056457.9967143254
Austria,6,0.0
BosniaH,6,0.0
Belgium,6,0.0
Bulgaria,6,0.0
Switzerland,6,0.0
CzechR,6,0.0
Germany,6,0.0
Denmark,6,0.0
Estonia,6,0.0
Spain,6,0.0
Finland,6,0.0
France,6,0.0
GreatBrit.,6,0.0
Greece,6,0.0
Croatia,6,0.0
Hungary,6,0.0
Ireland,6,0.0
Italy,6,0.0
Lithuania,6,0.0
Luxemb.,6,0.0
Latvia,6,0.0
Macedonia,6,0.0
Netherlands,6,0.0
NO1,6,0.0
NO2,6,0.0
NO3,6,0.0
NO4,6,0.0
NO5,6,0.0
Poland,6,0.0
Portugal,6,0.0
Romania,6,0.0
Serbia,6,0.0
Sweden,6,0.0
Slovenia,6,0.0
Slovakia,6,0.0
Austria,7,0.0
BosniaH,7,0.0
Belgium,7,0.0
Bulgaria,7,0.0
Switzerland,7,0.0
CzechR,7,0.0
Germany,7,0.0
Denmark,7,0.0
Estonia,7,0.0
Spain,7,0.0
Finland,7,0.0
France,7,0.0
GreatBrit.,7,0.0
Greece,7,0.0
Croatia,7,0.0
Hungary,7,0.0
Ireland,7,0.0
Italy,7,0.0
Lithuania,7,0.0
Luxemb.,7,0.0
Latvia,7,0.0
Macedonia,7,0.0
Netherlands,7,0.0
NO1,7,0.0
NO2,7,0.0
NO3,7,0.0
NO4,7,0.0
NO5,7,0.0
Poland,7,0.0
Portugal,7,0.0
Romania,7,0.0
Serbia,7,0.0
Sweden,7,0.0
Slovenia,7,0.0
Slovakia,7,0.0
