Node,GeneratorTechnology,Period,generatorInitialCapacity_in_MW
Belgium,Nuclear,1,3908
Belgium,Nuclear,2,3908
Belgium,Nuclear,3,3463
Belgium,Nuclear,4,2056
Belgium,Nuclear,5,2056
Belgium,Nuclear,6,0
Belgium,Nuclear,7,0
Bulgaria,Nuclear,1,2006
Bulgaria,Nuclear,2,2006
Bulgaria,Nuclear,3,2006
Bulgaria,Nuclear,4,2006
Bulgaria,Nuclear,5,2006
Bulgaria,Nuclear,6,1003
Bulgaria,Nuclear,7,0
CzechR,Nuclear,1,4212
CzechR,Nuclear,2,4212
CzechR,Nuclear,3,4212
CzechR,Nuclear,4,4212
CzechR,Nuclear,5,4212
CzechR,Nuclear,6,2172
CzechR,Nuclear,7,2172
Finland,Nuclear,1,4369
Finland,Nuclear,2,4369
Finland,Nuclear,3,4369
Finland,Nuclear,4,2972
Finland,Nuclear,5,1575
Finland,Nuclear,6,1575
Finland,Nuclear,7,1575
France,Nuclear,1,63000
France,Nuclear,2,63000
France,Nuclear,3,63000
France,Nuclear,4,59420
France,Nuclear,5,34050
France,Nuclear,6,15500
France,Nuclear,7,7620
GreatBrit.,Nuclear,1,5883
GreatBrit.,Nuclear,2,5883
GreatBrit.,Nuclear,3,5883
GreatBrit.,Nuclear,4,5883
GreatBrit.,Nuclear,5,3638
GreatBrit.,Nuclear,6,1198
GreatBrit.,Nuclear,7,1198
Hungary,Nuclear,1,1916
Hungary,Nuclear,2,1916
Hungary,Nuclear,3,1916
Hungary,Nuclear,4,1916
Hungary,Nuclear,5,958
Hungary,Nuclear,6,0
Hungary,Nuclear,7,0
Netherlands,Nuclear,1,482
Netherlands,Nuclear,2,482
Netherlands,Nuclear,3,0
Netherlands,Nuclear,4,0
Netherlands,Nuclear,5,0
Netherlands,Nuclear,6,0
Netherlands,Nuclear,7,0
Romania,Nuclear,1,1300
Romania,Nuclear,2,1300
Romania,Nuclear,3,1300
Romania,Nuclear,4,1300
Romania,Nuclear,5,1300
Romania,Nuclear,6,1300
Romania,Nuclear,7,1300
Slovakia,Nuclear,1,2308
Slovakia,Nuclear,2,2308
Slovakia,Nuclear,3,2308
Slovakia,Nuclear,4,2308
Slovakia,Nuclear,5,1842
Slovakia,Nuclear,6,1376
Slovakia,Nuclear,7,1376
Slovenia,Nuclear,1,688
Slovenia,Nuclear,2,688
Slovenia,Nuclear,3,688
Slovenia,Nuclear,4,688
Slovenia,Nuclear,5,0
Slovenia,Nuclear,6,0
Slovenia,Nuclear,7,0
Spain,Nuclear,1,7123
Spain,Nuclear,2,7123
Spain,Nuclear,3,7123
Spain,Nuclear,4,7123
Spain,Nuclear,5,3047
Spain,Nuclear,6,0
Spain,Nuclear,7,0
Sweden,Nuclear,1,7008
Sweden,Nuclear,2,7008
Sweden,Nuclear,3,7008
Sweden,Nuclear,4,7008
Sweden,Nuclear,5,2572
Sweden,Nuclear,6,0
Sweden,Nuclear,7,0
Switzerland,Nuclear,1,2973
Switzerland,Nuclear,2,2608
Switzerland,Nuclear,3,2243
Switzerland,Nuclear,4,1233
Switzerland,Nuclear,5,0
Switzerland,Nuclear,6,0
Switzerland,Nuclear,7,0
Bulgaria,Coalexisting,1,356
Bulgaria,Coalexisting,2,356
Bulgaria,Coalexisting,3,356
Bulgaria,Coalexisting,4,0
Bulgaria,Coalexisting,5,0
Bulgaria,Coalexisting,6,0
Bulgaria,Coalexisting,7,0
CzechR,Coalexisting,1,1200
CzechR,Coalexisting,2,600
CzechR,Coalexisting,3,0
CzechR,Coalexisting,4,0
CzechR,Coalexisting,5,0
CzechR,Coalexisting,6,0
CzechR,Coalexisting,7,0
Germany,Coalexisting,1,12966
Germany,Coalexisting,2,8635
Germany,Coalexisting,3,4318
Germany,Coalexisting,4,0
Germany,Coalexisting,5,0
Germany,Coalexisting,6,0
Germany,Coalexisting,7,0
Denmark,Coalexisting,1,3022
Denmark,Coalexisting,2,0
Denmark,Coalexisting,3,0
Denmark,Coalexisting,4,0
Denmark,Coalexisting,5,0
Denmark,Coalexisting,6,0
Denmark,Coalexisting,7,0
Spain,Coalexisting,1,3223
Spain,Coalexisting,2,0
Spain,Coalexisting,3,0
Spain,Coalexisting,4,0
Spain,Coalexisting,5,0
Spain,Coalexisting,6,0
Spain,Coalexisting,7,0
Finland,Coalexisting,1,1410
Finland,Coalexisting,2,0
Finland,Coalexisting,3,0
Finland,Coalexisting,4,0
Finland,Coalexisting,5,0
Finland,Coalexisting,6,0
Finland,Coalexisting,7,0
France,Coalexisting,1,1812
France,Coalexisting,2,0
France,Coalexisting,3,0
France,Coalexisting,4,0
France,Coalexisting,5,0
France,Coalexisting,6,0
France,Coalexisting,7,0
Hungary,Coalexisting,1,42
Hungary,Coalexisting,2,0
Hungary,Coalexisting,3,0
Hungary,Coalexisting,4,0
Hungary,Coalexisting,5,0
Hungary,Coalexisting,6,0
Hungary,Coalexisting,7,0
Ireland,Coalexisting,1,855
Ireland,Coalexisting,2,0
Ireland,Coalexisting,3,0
Ireland,Coalexisting,4,0
Ireland,Coalexisting,5,0
Ireland,Coalexisting,6,0
Ireland,Coalexisting,7,0
Italy,Coalexisting,1,5583
Italy,Coalexisting,2,0
Italy,Coalexisting,3,0
Italy,Coalexisting,4,0
Italy,Coalexisting,5,0
Italy,Coalexisting,6,0
Italy,Coalexisting,7,0
Netherlands,Coalexisting,1,4006
Netherlands,Coalexisting,2,0
Netherlands,Coalexisting,3,0
Netherlands,Coalexisting,4,0
Netherlands,Coalexisting,5,0
Netherlands,Coalexisting,6,0
Netherlands,Coalexisting,7,0
Poland,Coalexisting,1,18687
Poland,Coalexisting,2,11455
Poland,Coalexisting,3,8334
Poland,Coalexisting,4,8222
Poland,Coalexisting,5,6129
Poland,Coalexisting,6,3906
Poland,Coalexisting,7,3364
Romania,Coalexisting,1,176
Romania,Coalexisting,2,176
Romania,Coalexisting,3,0
Romania,Coalexisting,4,0
Romania,Coalexisting,5,0
Romania,Coalexisting,6,0
Romania,Coalexisting,7,0
Croatia,Coalexisting,1,217
Croatia,Coalexisting,2,217
Croatia,Coalexisting,3,0
Croatia,Coalexisting,4,0
Croatia,Coalexisting,5,0
Croatia,Coalexisting,6,0
Croatia,Coalexisting,7,0
Bulgaria,Liginiteexisting,1,4119
Bulgaria,Liginiteexisting,2,2743
Bulgaria,Liginiteexisting,3,1372
Bulgaria,Liginiteexisting,4,0
Bulgaria,Liginiteexisting,5,0
Bulgaria,Liginiteexisting,6,0
Bulgaria,Liginiteexisting,7,0
CzechR,Liginiteexisting,1,7200
CzechR,Liginiteexisting,2,3600
CzechR,Liginiteexisting,3,0
CzechR,Liginiteexisting,4,0
CzechR,Liginiteexisting,5,0
CzechR,Liginiteexisting,6,0
CzechR,Liginiteexisting,7,0
Germany,Liginiteexisting,1,18363
Germany,Liginiteexisting,2,12230
Germany,Liginiteexisting,3,6115
Germany,Liginiteexisting,4,0
Germany,Liginiteexisting,5,0
Germany,Liginiteexisting,6,0
Germany,Liginiteexisting,7,0
Finland,Liginiteexisting,1,1044
Finland,Liginiteexisting,2,0
Finland,Liginiteexisting,3,0
Finland,Liginiteexisting,4,0
Finland,Liginiteexisting,5,0
Finland,Liginiteexisting,6,0
Finland,Liginiteexisting,7,0
Greece,Liginiteexisting,1,2650
Greece,Liginiteexisting,2,0
